spp,Phylum,Class,Order,Family,Genus,Species,Past Gen,Authority,Common name,Migrants,Natural hybrid,Cryptic species complex,Endemic to Singapore,Global IUCN status,RDB2 status,RDB3 status,First known,Last known,No. of digital records and specimens,Actual generation time,Actual x 3,"% change [from 1980s to 2010s, based on 1980s]",Modelled rate of change,Modelled rate (p-value),pop <50,pop <250,pop <1000,pop <2500,pop <10000,Habitat loss,Habitat modification,Declining water quality,Sedimentation,Harmful algal blooms,Oil spills,Light pollution,Noise pollution,Warming,Acidification,Extraction,Invasive displacement,Threats still operating,Threats ceased,Habitat and ecology,sites ≤5 (named),sites >5,Area protection taken,Species recovery programme taken,Habitat restoration taken,Habitat creation taken,Maritime regulation taken,Area protection required,Species recovery programme required,Habitat restoration required,Habitat creation required,Maritime regulation required,Justifications,Remarks,References
Cycloseris costulata,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Cycloseris,costulata,Fungia,"(Ortmann, 1889)",,No,No,No,No,LC,-,DD,"1987 (as ?Cycloseris marginata; ZRC, 19870603)",1995 (Loo & Chou),3,7,21,-100,-0.00042,0.231439,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995
Cycloseris explanulata,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Cycloseris,explanulata,Psammocora,"(van der Horst, 1922)",,No,No,No,No,LC,-,DD,1995 (as Psammocora explanulata; Loo & Chou),2020 (Kikuzawa et al),2,10,30,-100,-0.00263,0.313323,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose. 
Gonochoric broadcaster.

Can colonise artificial structures.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Kikuzawa et al 2020
Cycloseris mokai,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Cycloseris,mokai,Lithophyllon,"(Hoeksema, 1989)",,No,No,No,No,LC,-,DD,"1988 (ZRC, 19880900)",1995 (Loo & Chou),3,7,21,-100,-0.01057,0.051451,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995
Cycloseris vaughani,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Cycloseris,vaughani,Fungia,"(Boschma, 1923)",,No,No,No,No,LC,-,DD,1995 (as Fungia vaughani; Loo & Chou),1995 (as Fungia vaughani; Loo & Chou),1,5,15,-100,-0.00088,0.313323,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Danafungia horrida,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Danafungia,horrida,Fungia,"(Dana, 1846)",,No,No,No,No,LC,-,DD,1881 (as Fungia danai; Studer),1995 (Loo & Chou),10,10,30,-100,-0.01706,0.006117,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Hoeksema & Koh 2009; Iffah(LKCNHM); Loo & Chou 1995
Danafungia scruposa,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Danafungia,scruposa,Fungia,"(Klunzinger, 1879)",,No,No,No,No,LC,-,LC,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),33,10,30,-32.20472441,-3.23E-05,0.997023,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.","HA-NE, HA-W, HP-E, RL-W",,X (SIMP),,,,X (Raffles),,,,,,"Population decline not significant.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Hoeksema & Koh 2009; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Wong et al 2018; Chow et al 2019; Prasetia et al 2020
Fungia fungites,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Fungia,fungites,Fungia,"(Linnaeus, 1758)",Common mushroom,No,No,No,No,NT,-,LC,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),56,10,30,-70.83333333,-0.07236,0.005124,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,"HA-NE, HP-E, KKU-NE, PSD-NW, RL-W, SE-SW, SJ-NW, SS-S, TKK-W, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"Population decline appears significant but individuals are not usually recorded during LIT surveys. 

Thus further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Surveys not done where the species is usually found,Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Hoeksema & Koh 2009; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Wong et al 2018; Chow et al 2019; Prasetia et al 2020
Heliofungia actiniformis,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Heliofungia,actiniformis,Heliofungia,"(Quoy & Gaimard, 1833)",Sunflower mushroom coral,No,No,No,No,VU,-,NT,1890s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),12,10,30,-92.70833333,-0.01002,0.008772,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",HA-NE,,,,,,X (Raffles),X,,,,X,"Population decline significant.
Not found at many sites.

Also documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Chuang 1961; Hoeksema & Koh 2009; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Wong et al 2018; Lim et al 2020; Prasetia et al 2020
Herpolitha limax,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Herpolitha,limax,Herpolitha,"(Esper, 1797) ",Tongue mushroom coral,No,No,No,No,LC,-,LC,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),40,10,30,53.83064516,0.041426,0.01654,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster. 

Can colonise artificial structures.",,"HA-NE, HA-SE, HP-E, JO-S, LA-S, PSD-NW, PSD-SW, RL-W, SE-SW, SS-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Studer 1881; Purchon 1956; Chuang 1961; Hoeksema & Koh 2009; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Prasetia et al 2020

Quek & Huang 2019 (phylotranscriptomic analysis); Quek et al 2020 (baits)"
Lithophyllon concinna,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Lithophyllon,concinna,Fungia,"(Verrill, 1864)",,No,No,No,No,LC,-,LC,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),43,7,21,21.91666667,0.014291,0.093354,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,"HA-W, HP-E, JO-S, KU-NE, PSD-NW, PSL-SE, RL-W, SS-S, TPT-SW",X (SIMP),,,,X (SultanShoal),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Hoeksema & Koh 2009; Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Ng et al 2020; Prasetia et al 2020
"
Lithophyllon repanda,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Lithophyllon,repanda,Fungia,"(Dana, 1846)",,No,No,No,No,LC,-,LC,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),53,7,21,-11.15633673,0.021496,0.312418,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,"HA-NE, HA-W, HP-E, KU-NE, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-SW, SS-N, SS-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Studer 1881; Purchon 1956; Chuang 1961; Hoeksema & Koh 2009; Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Prasetia et al 2020
Lithophyllon scabra,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Lithophyllon,scabra,Fungia,"(Döderlein, 1901)",,No,No,No,No,LC,-,LC,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),38,8,24,-34.31635389,-0.00314,0.754867,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,"HA-W, HP-W, JO-S, PSD-NW,RL-W, SE-NW, SE-SW, SS-S",X (SIMP),,,,X (SultanShoal),,,,,,"Population decline not significant.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Hoeksema & Koh 2009; Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Prasetia et al 2020

Loh et al 2004 (photophysiology)"
Lithophyllon undulatum,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Lithophyllon,undulatum,Lithophyllon,"Rehberg, 1892",,No,No,No,No,NT,-,LC,1986-91 (record consolidated by Hoeksema & Koh 2009),2020 (Lim et al),10,10,30,6534.666667,0.104583,9.18E-07,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose.
Gonochoric broadcaster. 

Can colonise artificial structures.",,"CY-S, HA-SE, HA-W, HP-E, HP-W, KU-NE, LA-S, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),"
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Hoeksema & Koh 2009; Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020; Lim et al 2020

Chou et al 2018 (relevance of reef restoration)"
Lobactis scutaria,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Lobactis,scutaria,Fungia,"(Lamarck, 1801)",,No,No,No,No,LC,-,DD,1881 (Studer),1995 (Loo & Chou),2,10,30,-100,-0.00408,0.285743,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Studer 1881; Loo & Chou 1995
Pleuractis granulosa,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Pleuractis,granulosa,Fungia,"(Klunzinger, 1879)",,No,No,No,No,LC,-,DD,1986-91 (consolidated by Hoeksema & Koh 2009),1986-91 (consolidated by Hoeksema & Koh 2009),1,7,21,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Hoeksema & Koh 2009
Pleuractis moluccensis,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Pleuractis,moluccensis,Fungia,"(Van der Horst, 1919)",,No,No,No,No,LC,-,NT,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),34,10,30,-100,-0.02736,0.000219,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.",,,X (SIMP),,,,,X,,,,X,"Population decline significant.
Not found at many sites.

Also documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Hoeksema & Koh 2009; Iffah(LKCNHM); Loo & Chou 1995; BioBlitz_SIMP2017; Chow et al 2019; Prasetia et al 2020
Pleuractis paumotensis,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Pleuractis,paumotensis,Fungia,"(Stutchbury, 1833)",Elongate mushroom coral,No,No,No,No,LC,-,NT,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),27,8,24,-86.30872483,-0.01424,0.0594,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.","HA-W, RL-W",,X (SIMP),,,,X (Raffles),X,,,,X,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Hoeksema & Koh 2009; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Chow et al 2019; Prasetia et al 2020
Podabacia crustacea,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Podabacia,crustacea,Podabacia,"(Pallas, 1766)",Bracket mushroom coral,No,No,No,No,LC,-,LC,1860s (record consolidated by Hoeksema & Koh 2009),2021 (Lee et al),27,10,30,317.4103139,0.354859,5.39E-07,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting. 
Gonochoric broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LA-S, LZ-E, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),"X (Taira et al (b), in situ nursery)
X (Toh et al (b), in situ nursery & subtidal seawall transplant)

X (Chou et al, subtidal seawall transplant)
X (Sam et al, in situ nursery)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Studer 1881; Chuang 1961; Chou & Teo 1983; Hoeksema & Koh 2009; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Taira et al 2017b (juv. butterflyfishes inhabiting nursery); Toh et al 2017b (cost-effective seawall biodiversity enhancement); Chou et al 2017 (effectiveness of reef restoration); Sam et al 2018 (cuttlefish egg deposition); Afiq-Rosli et al 2019 (maximising genetic diversity); Ng et al 2019b (skeletal density); Loo et al 2020 (optimal temperature)"
Podabacia kunzmanni,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Podabacia,kunzmanni,Podabacia,"Hoeksema, 2009",Bracket mushroom coral,No,No,No,No,DD,-,DD,2009 (Hoeksema),2009 (Hoeksema),3,Not stated,-,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose. 
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Hoeksema & Koh 2009 (Podabacia kunzmanni, new sp.); Hoeksema 2009; Huang et al 2009"
Podabacia motuporensis,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Podabacia,motuporensis,Podabacia,"Veron, 1990",Bracket mushroom coral,No,No,No,No,NT,-,DD,1986-91 (consolidated by Hoeksema & Koh 2009),2018 (Wong et al),3,10,30,,0.003871,0.151033,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose. 
Gonochoric broadcaster.","HA-SE, KU-NE",,,,,,,,,,,,"DD, as % cover change only quantified for < 10 years. 
",,Hoeksema & Koh 2009; Huang et al 2009; Wong et al 2018
Polyphyllia talpina,Cnidaria,Anthozoa,Scleractinia,Fungiidae,Polyphyllia,talpina,Polyphyllia,"(Lamarck, 1801) ",Mole mushroom coral,No,No,No,No,LC,-,VU,1860s (record consolidated by Hoeksema & Koh 2009),2020 (Prasetia et al),16,10,30,-75,-0.00217,0.381384,,,,,,X,X,X,X,,,,,X,X,,,X,,"Free-living.
Gonochoric broadcaster.","HA-SE, KU-NE",,X (SIMP),,,,,X,,X,,X,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Hoeksema & Koh 2009; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Lim et al 2020; Prasetia et al 2020
Leptastrea purpurea,Cnidaria,Anthozoa,Scleractinia,Incertae sedis,Leptastrea,purpurea,Leptastrea,"(Dana, 1846)",,No,No,No,No,LC,-,LC,1977 (Chuang),2021 (Lee et al),19,10,30,1766.666667,"As L.pruinosa: 0.022662

As L.purpurea: 0.011368","As L.pruinosa: 0.0000848

As L.purpurea: 0.006162",,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, PSD-NW, RL-W, SS-N, SS-S, TM-S",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
","Synonymised with Leptastrea pruinosa (Arrigoni et al. 2020)

Also documented on reef flats (Lee et al 2021).","As Leptastrea pruinosa:
Iffah(LKCNHM); Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Lee et al 2021

As Leptastrea purpurea:
Chuang 1977; Iffah(LKCNHM); Ang 2007; Huang et al 2009; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020"
Leptastrea transversa,Cnidaria,Anthozoa,Scleractinia,Incertae sedis,Leptastrea,transversa,Leptastrea,"Klunzinger, 1879",Crust coral,No,No,No,No,LC,-,LC,"1985 (ZRC, 19850726)",2021 (Lee et al),8,10,30,35.71428571,0.001731,0.73941,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.","HA-NE, PSD-NW, RL-W, SS-N",,X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009; Wong et al 2018; Chow et al 2019; Kikuzawa et al 2020; Lee et al 2021
Oulastrea crispata,Cnidaria,Anthozoa,Scleractinia,Oulastreidae,Oulastrea,crispata,Oulastrea,"(Lamarck, 1816)",Zebra coral,No,No,No,No,LC,-,LC,1956 (Purchon),2021 (Lee et al),14,10,30,,0.001306,0.104072,,,,,,X,X,X,X,,,,,,X,,,X,,"Colonies encrusting.
Gonochoric broadcaster. 

Can colonise artificial structures.","RL-W, TM-E, TM-S",,,,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many intertidal and seawall areas.

Also documented from other reefs in the region (Huang et al 2015).
","Found at numerous intertidal sites (Lim et al 2020)
","Purchon 1956; Chuang 1961; Chou & Teo 1983; Ang 2007; Huang et al 2009; Wong et al 2018; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly); Lai et al 2013 (corals feeding on seagrass matter); Quek & Huang 2019 (phylotranscriptomic analysis); Quek et al 2020 (baits)"
Pachyseris rugosa,Cnidaria,Anthozoa,Scleractinia,Incertae sedis,Pachyseris,rugosa,Pachyseris,"(Lamarck, 1801)",Castle coral,No,No,No,No,VU,-,LC,1881 (as Pachyseris valenciennesii; Studer),2020 (Kikuzawa et al),7,10,30,349.71537,0.258459,2.45E-09,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive, foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-W, HP-E, JO-S, KU-NE, LZ-E, PSD-NW, PSL-SE, RL-W, SE-SW, TPT-SW",,,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Studer 1881; Loo & Chou 1995; Huang et al 2009; Wong et al 2018; Chow et al 2019; Lim et al 2020; Kikuzawa et al 2020
Pachyseris speciosa,Cnidaria,Anthozoa,Scleractinia,Incertae sedis,Pachyseris,speciosa,Pachyseris,"(Dana, 1846)",Castle coral,No,No,No,No,LC,-,LC,1881 (as Pachyseris speciosa & P. levicollis; Studer),2021 (Lee et al),29,10,30,84.57117885,0.795941,8.11E-06,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-S, TKK-W, TM-S, TPT-SW",X (SIMP),"X (Ng & Chou; COPs)
X (Afiq-Rosli et al; in situ nursery & subtidal seawall transplant)
X (Chou et al, reef & subtidal seawall transplant)

X (Chou et al, subtidal seawall transplant)",,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
","Also documented on reef flats (Lee et al 2021).

Comprises 2 cryptic species (Feldman et al 2021).","Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Ng & Chou 2014 (COPs); Browne et al. 2014 (photophysiological stress); Browne et al. 2015a (coral-sediment thresholds); Browne et al. 2015b (fluctuation in coral health); Tanzil et al 2016 (Symbiodinium diversity); Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration); Quek & Huang 2019 (phylotranscriptomic analysis); Jain et al 2020 (endosymbiont communities); Loo et al 2020 (optimal temperature); Quek et al 2020 (baits)"
Acanthastrea echinata,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Acanthastrea,echinata,Acanthastrea,"(Dana, 1846)",Brain coral,No,No,No,No,LC,-,LC,1995 (Loo & Chou),2020 (Kikuzawa et al),9,10,30,248.8888889,0.018626,0.076319,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting, massive. 
Hermaphroditic broadcaster.

Can colonise artificial structures.
",,"JO-S, KU-NE, LZ-E, PSD-NW, PSL-SE, RL-W, SS_S, TM-E, TM-S, TPT-SW",X (SIMP),"
X (Chou et al, subtidal seawall transplant)",,,X (SultanShoal),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Huang et al 2009b (pervasive paraphyly); Chou et al 2018 (relevance of reef restoration)"
Acanthastrea rotundoflora,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Acanthastrea,rotundoflora,Acanthastrea,"Chevalier, 1975",Brain coral,No,No,No,No,NT,-,DD,2009 (Huang et al),2020 (Ng et al),6,10,30,,0.001825,0.736152,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting, massive. 
Hermaphroditic broadcaster.","PSD-NW, SS-N, TPT-SW",,,"X (Chou et al, subtidal seawall transplant)
X (Chou et al, subtidal seawall transplant)",,,X (SultanShoal),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Huang et al 2009; Wong et al 2018; Chow et al 2019; Ng et al 2020

Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration)"
Echinophyllia aspera,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Echinophyllia,aspera,Echinophyllia,"(Ellis & Solander, 1786)",Flat lettuce coral,No,No,No,No,LC,-,LC,"1985 (ZRC, 19850805)",2020 (Kikuzawa et al),15,10,30,-45.00649632,-0.14137,0.208225,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HA-SE, HA-W, HP-W, JO-S, KU-NE, LA-S, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-SW, SJ-NW, SJ-S, SS-S, TKK-W, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Teo et al. 2016 (quantification of coral sperm)
"
